iter	Passed	Remaining
435	2951	433
436	2961	426
437	2967	420
438	2973	413
439	2980	406
440	2986	399
441	2994	392
442	3000	386
443	3006	379
444	3013	372
445	3020	365
446	3027	358
447	3035	352
448	3041	345
449	3046	338
450	3053	331
451	3061	325
452	3068	318
453	3075	311
454	3080	304
455	3086	297
456	3092	291
457	3100	284
458	3106	277
459	3112	270
460	3119	263
461	3124	257
462	3131	250
463	3137	243
464	3143	236
465	3160	230
466	3167	223
467	3173	217
468	3181	210
469	3187	203
470	3192	196
471	3198	189
472	3203	182
473	3208	175
474	3214	169
475	3218	162
476	3224	155
477	3231	148
478	3236	141
479	3243	135
480	3249	128
481	3254	121
482	3259	114
483	3265	107
484	3272	101
485	3280	94
486	3284	87
487	3292	80
488	3297	74
489	3302	67
490	3308	60
491	3314	53
492	3318	47
493	3323	40
494	3328	33
495	3332	26
496	3337	20
497	3342	13
498	3351	6
499	3356	0
