iter	RMSE
149	212883.2974
150	212528.6236
151	211904.757
152	211743.4753
153	211421.7627
154	211250.2861
155	210904.1363
156	210574.9564
157	210183.553
158	209871.6436
159	209421.1901
160	209198.394
161	208990.8862
162	208423.6688
163	208310.465
164	208159.6848
165	208001.6986
166	207612.9433
167	207486.8391
168	206928.5865
169	206439.279
170	206008.1256
171	205827.5745
172	205671.1347
173	205376.864
174	205137.5875
175	204810.0271
176	204721.1343
177	204517.7598
178	204427.192
179	204053.159
180	203635.4439
181	203125.201
182	202886.7911
183	202314.7777
184	202038.8321
185	201589.8835
186	201375.7955
187	201025.1387
188	200741.7539
189	200651.3802
190	200331.0671
191	199828.0752
192	199445.6353
193	199230.1594
194	199131.246
195	198846.2994
196	198619.5275
197	198251.225
198	198175.242
199	198077.7848
200	197929.5085
201	197720.8938
202	197333.5171
203	197177.1674
204	197033.279
205	196962.7751
206	196615.4156
207	196548.0228
208	196209.9503
209	196140.471
210	195785.8126
211	195510.7261
212	195196.0213
213	195129.2877
214	194948.382
215	194889.1928
216	194623.334
217	194576.422
218	194513.7901
219	194397.4532
220	194231.0938
221	194176.7676
222	193885.1349
223	193707.0118
224	193421.1158
225	193378.4014
226	193327.2602
227	193264.2161
228	192944.6411
229	192780.7905
230	192436.9973
231	192265.1573
232	191942.6891
233	191712.9742
234	191651.5853
235	191597.5672
236	191444.3749
237	191066.5345
238	190971.0905
239	190780.5041
240	190433.8313
241	190342.8218
242	190158.0284
243	190069.6841
244	189831.8639
245	189768.8412
246	189416.9024
247	189268.1122
248	189107.8204
249	189032.6172
250	188977.4607
251	188553.6474
252	188307.4207
253	188159.2461
254	188105.1797
255	187884.1384
256	187540.3094
257	187481.8113
258	187313.4772
259	187052.6984
260	186884.6576
261	186833.3357
262	186724.0389
263	186683.7646
264	186523.5109
265	186268.3554
266	186067.2412
267	185795.7016
268	185490.675
269	185364.5243
270	185316.0749
271	185043.9634
272	185006.2537
273	184799.3935
274	184763.0863
275	184618.6179
276	184573.9286
277	184374.9252
278	184223.3741
279	184047.0061
280	184012.7436
281	183752.0074
282	183441.758
283	183324.5856
284	183048.0492
285	182934.0776
286	182891.9828
287	182749.4065
288	182640.5549
289	182488.1112
290	182196.1447
291	181928.7187
292	181656.9916
293	181482.974
294	181450.9459
295	181358.1686
296	181331.9576
297	181195.587
298	180920.6494
299	180768.6585
300	180602.0315
301	180437.9969
302	180292.5263
303	180154.7807
304	180110.4291
305	179881.0798
306	179842.7847
307	179744.0744
308	179490.6517
309	179254.1877
310	179158.9614
311	178978.1448
312	178800.4706
313	178670.2027
314	178633.7249
315	178445.6935
316	178266.3494
317	178224.5443
318	178167.5729
319	178033.2956
320	177945.7064
321	177871.8772
322	177729.8321
323	177551.5676
324	177400.7226
325	177158.8525
326	177118.5067
327	177047.29
328	176978.665
329	176856.0096
330	176773.9201
331	176734.3169
332	176568.498
333	176441.863
334	176403.7989
335	176331.196
336	176222.9015
337	176013.6248
338	175783.0185
339	175745.8861
340	175530.3271
341	175443.9026
342	175395.351
343	175286.2419
344	175117.9108
345	175083.1977
346	174885.1194
347	174758.895
348	174712.2033
349	174640.1759
350	174601.0959
351	174407.8319
352	174291.7118
353	174110.9938
354	173997.9733
355	173888.7382
356	173800.5056
357	173684.2449
358	173527.8633
359	173364.851
360	173207.3634
361	173054.9185
362	173022.067
363	172910.3237
364	172787.4539
365	172661.3999
366	172601.9753
367	172566.4494
368	172486.5071
369	172406.7073
370	172230.9135
371	172124.438
372	171935.4804
373	171877.8733
374	171835.7404
375	171754.3748
376	171589.2994
377	171542.8301
378	171508.2273
379	171386.8867
380	171342.2101
381	171308.6793
382	171192.7473
383	170990.9488
384	170909.551
385	170780.1754
386	170705.8035
387	170660.0285
388	170575.408
389	170521.7248
390	170307.0119
391	170182.5832
392	170079.9126
393	170028.4199
394	169947.9611
395	169816.6999
396	169727.9662
397	169573.3816
398	169447.1818
399	169328.0902
400	169153.4874
401	169080.8565
402	168991.786
403	168894.9265
404	168868.1477
405	168818.4912
406	168770.61
407	168741.8444
408	168710.5755
409	168606.5699
410	168559.7702
411	168456.209
412	168357.3267
413	168285.6829
414	168123.6663
415	168053.6326
416	168033.8372
417	168009.2572
418	167876.6575
419	167858.2782
420	167831.2867
421	167729.5403
422	167712.2763
423	167559.5841
424	167507.3064
425	167481.5533
426	167465.1809
427	167449.4274
428	167343.8339
429	167309.5634
430	167202.9732
431	167184.6729
432	167141.336
433	166949.766
434	166795.6121
435	166666.4026
436	166633.8967
437	166582.6058
438	166565.3102
439	166428.2708
440	166234.5242
441	166137.3881
442	166036.3604
443	166006.092
444	165802.4778
445	165740.3993
446	165633.6391
447	165537.8558
448	165452.0466
449	165383.4968
450	165296.0907
451	165229.6669
452	165069.7619
453	165046.2352
454	164953.1661
455	164912.1788
456	164828.2838
457	164747.2757
458	164668.9494
459	164520.7088
460	164445.2103
461	164343.8193
462	164270.8821
463	164200.2357
464	164103.2403
465	164035.7359
466	163976.4486
467	163834.607
468	163696.0258
469	163615.3378
470	163594.0311
471	163499.8205
472	163444.6088
473	163370.0401
474	163310.903
475	163297.1397
476	163283.8626
477	163132.4958
478	163069.2375
479	162970.5286
480	162842.0429
481	162766.9597
482	162712.0774
483	162599.2281
484	162527.9465
485	162444.5632
486	162353.7572
487	162285.9963
488	162195.5457
489	162073.081
490	162009.1794
491	161996.257
492	161983.8168
493	161965.3987
494	161847.7569
495	161751.296
496	161613.0739
497	161594.9726
498	161473.064
499	161356.491
